Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"1","EEUFM1E681","680F 25V Aluminum Electrolytic Capacitors Radial, Can 5000 Hrs @ 105C","C1","","Not managed","","1","","","","","","",""
"2","EEU-FC1E471","Capacitor Polarised","C2","","Not managed","","1","","","","","","",""
"3","Capacitor 100 nF +/-10% 50 V 0603","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)","C3, C4, C5","CMP-001-00017-6","Draft","Up to date","3","KYOCERA AVX","06035C104KAT2A","Volume Production","RS (Formerly Allied Electronics)","06035C104KAT2A","0.02768","0.08305"
"4","CDBA540-HF","Schottky Diode","D1","","Not managed","","1","","","","","","",""
"5","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","D2","CMP-007-00030-2","Draft","Up to date","1","Vishay","TLMS1100-GS08","Obsolete","","","",""
"6","ESP32 Left Header","20 Position Receptacle Connector 0.100 (2.54mm) Through Hole Gold","J1","","Not managed","","1","","","","","","",""
"7","ESP32 Right Header","20 Position Receptacle Connector 0.100 (2.54mm) Through Hole Gold","J2","","Not managed","","1","","","","","","",""
"8","nRF24 Signals","Headers & Wire Housings .100 Tiger Buy Socket Strip, Square Tail","J3","","Not managed","","1","","","","","","",""
"9","nRF24 Power","SSQ Series .100 Tiger Buy™ Socket Strip, Square Tail","J4","","Not managed","","1","","","","","","",""
"10","B2B-PH-K-S(LF)(SN)","Male Header, Pitch 2 mm, 1 x 2 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk","J5","CMP-2000-05162-1","Released","Up to date","1","JST","B2B-PH-K-S(LF)(SN)","Volume Production","Arrow Electronics","B2B-PH-K-S(LF)(SN)","0.14118","0.14118"
"11","L298N","Headers & Wire Housings .100 Tiger Buy Socket Strip, Square Tail","J6","","Not managed","","1","","","","","","",""
"12","Servo Motor","3 Position Receptacle Connector 0.100 (2.54mm) Through Hole, Right Angle Tin","J7","","Not managed","","1","","","","","","",""
"13","Tof Sensor","Connector","J8","","Not managed","","1","","","","","","",""
"14","IR Sensor Left","3 Position Receptacle Connector 0.100 (2.54mm) Through Hole, Right Angle Tin","J9","","Not managed","","1","","","","","","",""
"15","IR Sensor Right","3 Position Receptacle Connector 0.100 (2.54mm) Through Hole, Right Angle Tin","J10","","Not managed","","1","","","","","","",""
"16","DR127-220-R","22µH Shielded Wirewound Inductor 4A 39.1mOhm Nonstandard","L1","","Not managed","","1","","","","","","",""
"17","RC0603JR-13150RL","","R1","CMP-2000-04317-1","Released","Up to date","1","Yageo Group","RC0603JR-13150RL","Volume Production","Mouser","603-RC0603JR-13150RL","0.13841","0.13841"
"18","Power Switch","","SW1","","Not managed","","1","","","","","","",""
"19","LM2596S-5.0","SIMPLE SWITCHER® 4.5V to 40V, 3A Low Component Count Step-Down Regulator","U1","","Not managed","","1","","","","","","",""
